table,level,rows,distinct_dates,brands,max_date,score
product_l2_01_price_elasticity,L2 product,4529,31,20,2026-08-23,93
product_l2_02_production_blueprint,L2 product,14871,34,17,2026-08-23,91
product_l2_08_brand_health,L2 product,8256,32,22,2026-08-23,94
product_l2_09_revealed_demand,L2 product,14871,34,17,2026-08-23,91
product_l2_10_market_entry,L2 product,12658,34,23,2026-08-23,94
product_l2_12_liquidation_calendar,L2 product,11541,34,22,2026-08-23,94
product_l2_13_wallet_allocator,L2 product,14871,34,17,2026-08-23,90
signal_l1_01_genuine_price_drop,L1 signal,134412,38,21,2026-08-24,99
signal_l1_03_price_staircase,L1 signal,4779,40,6,2026-08-24,89
signal_l1_04_anchor_inflation,L1 signal,376,24,10,2026-08-21,89
signal_l1_06_discount_recovery,L1 signal,1625,41,9,2026-08-23,91
signal_l1_07_price_anomaly,L1 signal,1183,40,15,2026-08-24,95
signal_l1_08_variant_stockout,L1 signal,16136,33,21,2026-08-24,99
signal_l1_09_variant_restock,L1 signal,6041,33,21,2026-08-24,99
signal_l1_10_dead_stock,L1 signal,5501,34,12,2026-08-24,93
signal_l1_11_size_asymmetry,L1 signal,13456,32,18,2026-08-24,97
signal_l1_12_new_sku_launch,L1 signal,23982,85,23,2026-08-23,100
signal_l1_13_product_delisted,L1 signal,12398,73,23,2026-08-09,100
signal_l1_14_launch_to_discount,L1 signal,17868,64,21,2026-08-23,99
signal_l1_17_depth_escalation,L1 signal,61608,40,13,2026-08-24,94
signal_l1_22_discount_velocity,L1 signal,466,47,14,2026-08-21,80
signal_l1_24_restock_density,L1 signal,15653,57,21,2026-08-24,99
signal_l2_clear_rate_by_depth,L2 signal,1061,14,0,2026-08-24,84
signal_l2_discount_honesty,L2 signal,3380,27,15,2026-08-24,94
signal_l2_first_mover,L2 signal,5035,31,18,2026-08-24,97
signal_l2_market_velocity,L2 signal,132,23,0,2026-08-24,96
signal_l2_pricing_discipline,L2 signal,3643,31,16,2026-08-24,96
signal_l2_replenishment_benchmark,L2 signal,434,23,20,2026-08-24,95
signal_l2_share_of_launch,L2 signal,5760,23,23,2026-08-24,96
signal_l2_size_demand_curve,L2 signal,795,23,0,2026-08-24,96
signal_l2_trained_customer,L2 signal,385,31,15,2026-08-24,95
